TICKET_ID,CREATED_AT,RESOLVED_AT,ASSOCIATE_ID,CATEGORY,SUBCATEGORY,PRIORITY,STATUS,RESOLUTION_HOURS,REOPEN_COUNT,CSAT_SCORE,RELATED_EVENT_IDS,TICKET_DESCRIPTION,RESOLUTION_NOTES,CONVERSATION_TRANSCRIPT
TKT-2024-45001,2024-01-15 08:52:00,2024-01-15 13:30:00,A-78234,Software,Workday,P2,Resolved,4.6,0,3,"[""EVT-2024-089001"",""EVT-2024-089007""]","I've been trying to submit my Q4 expense report all morning but it keeps timing out. I have about 12 receipts attached (mostly Uber rides and client dinners from December). Every time I click submit, it spins for several minutes then gives me a timeout error. I've tried twice now and wasted almost an hour. This is blocking my reimbursement before month-end close. Really frustrating because I need this money back ASAP.","Confirmed this is related to known incident INC-2024-0892 affecting Workday expense attachments. The attachment processing service was overwhelmed due to Monday morning peak + month-end volume. Advised associate to split submission into batches of 5 receipts maximum. First batch submitted successfully at 11:45. Remaining receipts submitted by 13:00. All expenses now processing normally. Permanent fix deployed at 12:30 increased processing capacity. Associate satisfied with workaround but frustrated by initial experience.","[08:52] Associate: Expense report keeps timing out. Tried twice. Very frustrated.
[09:15] Agent: I see you're experiencing the timeout. Let me check system status.
[09:18] Agent: We have a known issue affecting expense submissions with multiple attachments. Can you try submitting with fewer receipts?
[09:25] Associate: How many should I try?
[09:26] Agent: Please try 5 or fewer receipts per submission.
[11:48] Associate: That worked! Submitting the rest now.
[13:30] Agent: Glad to hear it. Closing ticket. Issue is now resolved system-wide."
TKT-2024-45002,2024-01-15 08:55:00,2024-01-15 14:15:00,A-67234,Software,Workday,P1,Resolved,5.3,1,2,"[""EVT-2024-089004""]","URGENT - Cannot submit expenses and this is my FOURTH attempt this morning. I keep getting connection reset errors. I have a hard deadline for month-end close and my manager is asking where my report is. I'm a senior VP and I do not have time for this. Please escalate immediately. Every time I try to submit, the page loads for about 5 minutes then just dies. I have 18 receipts from a week-long client trip to NYC.","P1 escalation due to VP level and deadline pressure. Initially provided same workaround as other tickets (batch submission). Associate reopened ticket because first batch also failed. Escalated to Tier 3 who identified that this associate's submission was stuck in a corrupted queue state. Tier 3 manually cleared the queue entry and associate was able to submit successfully at 13:45. Root cause added to incident INC-2024-0892. Apology email sent by IT Director. CSAT low due to extended resolution time and reopen.","[08:55] Associate: FOURTH ATTEMPT. Connection reset. VP level. Escalate now.
[09:02] Agent: Escalating to priority queue immediately. I understand the urgency.
[09:15] Agent: We have a widespread issue. Try submitting 5 receipts at a time.
[09:45] Associate: Still failing even with 5. This is unacceptable.
[10:00] Agent: Escalating to Tier 3 engineering.
[11:30] Tier 3: Found corrupted queue entry for this user. Clearing now.
[13:45] Associate: Finally worked. Very disappointed in the experience.
[14:15] Agent: I sincerely apologize. IT Director will follow up."
TKT-2024-45003,2024-01-15 09:08:00,2024-01-15 10:30:00,A-89012,Software,Workday,P2,Resolved,1.4,0,4,"[""EVT-2024-089005""]","Got a 500 error when trying to submit my expense report. Screen just said something went wrong. I have 6 PDF receipts attached. Not sure what to do now - is my report lost? I spent 30 minutes filling it out.","Reassured associate that draft was auto-saved and not lost. Verified draft visible in their Workday account. Explained known issue and workaround. Associate successfully submitted using batch method. Quick resolution and associate appreciated the draft auto-save feature.","[09:08] Associate: Got 500 error. Is my report gone?
[09:12] Agent: Don't worry - Workday auto-saves drafts. Let me verify.
[09:15] Agent: I can see your draft is saved. We have a known issue - please try submitting 5 receipts at a time.
[10:25] Associate: Worked! Thanks for the quick help and letting me know about the auto-save.
[10:30] Agent: Happy to help. Closing ticket."
TKT-2024-45004,2024-01-15 09:35:00,2024-01-15 11:20:00,A-91234,Software,Workday,P2,Resolved,1.75,0,4,"[""EVT-2024-089010""]","Trying to submit travel expenses from last week's client visit. Third attempt and it times out every time. I have about 10 receipts - hotel, flights, meals, uber. Any idea when this will be fixed?","Provided workaround for batch submission. Associate split into two batches of 5 and submitted successfully. Noted that associate was patient and understanding about the issue. Closed after confirming both submissions processed.","[09:35] Associate: Travel expenses timing out. Third try. 10 receipts total.
[09:40] Agent: We're experiencing high volume issues. Can you try splitting into batches of 5?
[09:55] Associate: Sure, I'll try that. Any ETA on a permanent fix?
[09:58] Agent: Engineering is working on it. We expect resolution within 2-3 hours.
[11:15] Associate: Both batches went through. Thanks!
[11:20] Agent: Great to hear. Closing ticket."
TKT-2024-45005,2024-01-15 09:50:00,2024-01-15 12:45:00,A-45123,Access,Authentication,P3,Resolved,2.9,0,5,"[""EVT-2024-089011""]","Couldn't log in this morning - my phone was on silent and I missed the MFA push. Had to wait for the timeout then try again. Is there a way to get a backup code or something for when this happens? I almost missed an important 9am meeting.","Provided information about MFA backup options. Walked associate through setting up backup phone number for SMS codes. Also showed how to use Okta Verify app's offline TOTP codes as backup. Associate appreciated learning about these options.","[09:50] Associate: Missed MFA push due to silent phone. Almost missed meeting. Any backup options?
[10:05] Agent: Yes! You have several backup options. Would you like me to walk you through them?
[10:08] Associate: Please!
[10:15] Agent: You can add a backup phone for SMS, or use offline codes in Okta Verify.
[12:40] Associate: Set up both options. Thanks for the thorough explanation!
[12:45] Agent: Glad I could help. Closing ticket."
TKT-2024-45006,2024-01-15 10:10:00,2024-01-15 14:30:00,A-12345,Software,Microsoft Teams,P2,Resolved,4.3,0,3,"[""EVT-2024-089013""]","Teams crashed in the middle of my presentation! I was sharing my screen with 45 people including our VP and external clients. Super embarrassing. The whole app just froze and then disappeared. Had to rejoin from my phone while my laptop restarted. This keeps happening when I screen share in large meetings. Is my laptop the problem or is it Teams?","Reviewed device diagnostics and Teams logs. Laptop is 3 years old with 8GB RAM - at minimum spec for Teams video + screen share. Large meetings with screen share are resource-intensive. Recommended laptop upgrade request through IT procurement. In meantime, suggested closing other applications before large meetings and using browser-based Teams as fallback. Associate submitted hardware refresh request.","[10:10] Associate: Teams crashed during presentation to 45 people including VP. Embarrassing!
[10:25] Agent: I'm sorry that happened. Let me check your device specs and Teams logs.
[10:45] Agent: Your laptop has 8GB RAM which is minimum spec. Large meetings with screen share need more resources.
[11:00] Associate: So I need a new laptop?
[11:05] Agent: I'd recommend requesting a hardware refresh. I can help you submit that request.
[14:25] Associate: Request submitted. Thanks for the workaround tips too.
[14:30] Agent: Good luck with the new laptop request!"
TKT-2024-45007,2024-01-15 11:25:00,2024-01-16 09:15:00,A-23789,Network,VPN,P1,Resolved,21.8,0,4,"[""EVT-2024-089018""]","I cannot connect to VPN from home at all. Getting a certificate error. I've been trying all morning and I'm completely blocked from working. I was connected fine on Friday. Please help urgently - I have deliverables due today.","Certificate validation issue traced to recent security update pushed Friday evening. The update changed certificate chain validation. User's cached certificate needed refresh. Walked user through clearing credential cache and re-authenticating. Issue resolved. Flagged pattern to security team as multiple users affected. Broader communication sent to WFH associates about certificate refresh.","[11:25] Associate: VPN cert error. Completely blocked. Was working Friday!
[11:35] Agent: I see several reports of this. A security update may have affected certificates.
[11:45] Agent: Can you try: Settings > Clear VPN Credentials > Reconnect?
[12:00] Associate: Trying now... It's asking me to re-authenticate.
[12:05] Associate: I'm in! Thank you so much!
[12:10] Agent: Great! We're tracking this issue. Will keep ticket open to monitor for 24 hours.
[Next Day 09:15] Agent: No recurrence reported. Closing ticket."
TKT-2024-45008,2024-01-15 11:35:00,2024-01-15 15:20:00,A-67123,Software,Concur,P3,Resolved,3.75,0,3,"[""EVT-2024-089019""]","My iPhone receipt photos aren't uploading to Concur. I get an error about the file format. These are just regular photos I took of receipts. Worked fine last month. Do I need to do something different now?","iPhone photos in HEIC format not being recognized after recent Concur update. HEIC conversion service experiencing issues. Workaround: change iPhone camera settings to capture in JPEG format (Settings > Camera > Formats > Most Compatible). Associate successfully uploaded receipts after changing setting. Issue logged with Concur vendor for permanent fix.","[11:35] Associate: iPhone receipt photos won't upload. File format error.
[11:50] Agent: iPhones use HEIC format by default which Concur is having trouble with.
[11:55] Agent: As a workaround, change your camera settings to JPEG. Settings > Camera > Formats > Most Compatible.
[15:10] Associate: Changed settings and retook the photos. Working now!
[15:20] Agent: Great! We've reported this to Concur for a permanent fix."
TKT-2024-45009,2024-01-14 14:20:00,2024-01-14 16:45:00,A-12567,Network,Firewall,P2,Resolved,2.4,0,2,"[""EVT-2024-089029""]","I can't join Zoom calls! It worked yesterday but today nothing. I had to use my personal phone for an important client call which is NOT okay from a security perspective. I use Zoom because our client uses it, not by choice. What's going on?","Recent firewall rule update blocked certain Zoom connection ports. Change was intended to block unauthorized meeting apps but inadvertently affected approved Zoom client. Change rolled back within 2 hours. Associate frustrated about having to use personal device. Incident report filed for firewall change process review.","[14:20] Associate: Zoom blocked. Had to use personal phone. Not okay!
[14:35] Agent: I'm checking with network security. We may have had a firewall change.
[14:50] Security Team: Confirmed. We're rolling back the change now.
[16:30] Agent: Zoom access should be restored. Can you try again?
[16:40] Associate: Working now. Please make sure this doesn't happen again. Using personal devices for client calls is a compliance concern.
[16:45] Agent: Completely understand. We've filed an incident report."
TKT-2024-45010,2024-01-14 15:40:00,2024-01-15 10:00:00,A-78567,Software,Power BI,P3,Resolved,18.3,0,4,"[""EVT-2024-089030""]","The daily metrics dashboard I use every morning isn't showing today's data. It says last refresh was 2 days ago. My team relies on this for our standup. Can someone refresh it?","Automated Power BI refresh job failed due to source database connection timeout. Re-ran refresh manually - completed successfully. Investigated root cause: database server was under heavy load during scheduled refresh window. Recommended rescheduling refresh to off-peak hours (4 AM instead of 7 AM). Change implemented.","[15:40] Associate: Power BI dashboard not refreshing. Team needs it for standups.
[15:55] Agent: Let me check the refresh job status.
[16:10] Agent: The automated refresh failed. I'm triggering a manual refresh now.
[16:30] Agent: Refresh running. Should complete in about 30 minutes.
[Next Day 09:45] Agent: Dashboard is now up to date. We've rescheduled the refresh to avoid peak hours.
[10:00] Associate: Confirmed working. Thanks!"
