EVENT_ID,EVENT_TIMESTAMP,ASSOCIATE_ID,DEVICE_ID,EVENT_TYPE,APPLICATION_NAME,SEVERITY,RESPONSE_TIME_MS,ERROR_CODE,BUSINESS_UNIT,LOCATION,WORK_TYPE,ERROR_MESSAGE,USER_ACTION_CONTEXT
EVT-2024-089001,2024-01-15 08:45:23,A-78234,LAP-29841,SLOW_RESPONSE,Workday,HIGH,15230,TIMEOUT_001,Commercial Banking,Richmond,HYBRID,"TimeoutException: Request to /api/expenses/submit exceeded 10000ms threshold. Connection pool exhausted after 45 retry attempts.","Associate was attempting to submit Q4 expense report with 12 attached receipt images during Monday morning peak hours. User had been working on the report for 25 minutes before submission attempt."
EVT-2024-089002,2024-01-15 08:47:12,A-45892,LAP-31024,TIMEOUT,Workday,HIGH,18450,TIMEOUT_001,Technology,McLean,REMOTE,"java.net.SocketTimeoutException: Read timed out after 15000ms waiting for attachment processing service response.","Associate was uploading a batch of 8 receipts for December travel expenses. Third attempt after two previous failures."
EVT-2024-089003,2024-01-15 08:52:34,A-12983,LAP-28934,SLOW_RESPONSE,Workday,MEDIUM,8920,PERF_002,Retail Banking,New York,ONSITE,"SlowQueryWarning: Expense validation query took 8.2 seconds. Threshold is 3 seconds.","Associate was reviewing expense report status for team of 15 direct reports."
EVT-2024-089004,2024-01-15 08:55:01,A-67234,LAP-30192,TIMEOUT,Workday,CRITICAL,30000,TIMEOUT_001,Card Services,Plano,HYBRID,"ConnectionResetException: Server terminated connection during file upload. Attachment service queue depth exceeded maximum threshold.","Associate attempting to submit month-end expense report. This is the fourth consecutive failure. Associate expressed frustration in follow-up ticket."
EVT-2024-089005,2024-01-15 09:01:18,A-89012,LAP-27834,APP_ERROR,Workday,HIGH,0,ERR_500,Commercial Banking,Richmond,REMOTE,"HTTP 500 Internal Server Error: Unhandled exception in ExpenseAttachmentProcessor. NullPointerException at line 342.","Associate clicked submit button after attaching 6 PDF receipts. Page displayed generic error message."
EVT-2024-089006,2024-01-15 09:05:44,A-34521,LAP-29012,SLOW_RESPONSE,Workday,MEDIUM,7650,PERF_002,Auto Finance,Plano,ONSITE,"PerformanceWarning: Dashboard render time 7.6 seconds exceeds 5 second threshold.","Associate opening Workday home page to begin expense submission process."
EVT-2024-089007,2024-01-15 09:12:33,A-78234,LAP-29841,TIMEOUT,Workday,HIGH,25000,TIMEOUT_001,Commercial Banking,Richmond,HYBRID,"TimeoutException: Retry exhausted after 3 attempts. Expense submission service unavailable.","Same associate from EVT-089001 attempting second submission after being advised to wait 15 minutes. Issue persists."
EVT-2024-089008,2024-01-15 09:18:21,A-56789,LAP-31892,SLOW_RESPONSE,Workday,LOW,4200,PERF_003,Technology,McLean,REMOTE,"MinorLatencyWarning: API response 4.2 seconds, slightly above 3 second target.","Associate loading expense history page with 2 years of records."
EVT-2024-089009,2024-01-15 09:22:45,A-23456,LAP-28123,APP_ERROR,Workday,MEDIUM,0,ERR_503,Retail Banking,Chicago,HYBRID,"HTTP 503 Service Unavailable: Expense attachment processing service temporarily unavailable due to high load.","Associate received error immediately after clicking upload button for receipt images."
EVT-2024-089010,2024-01-15 09:31:02,A-91234,LAP-30456,TIMEOUT,Workday,HIGH,20000,TIMEOUT_001,Card Services,Richmond,REMOTE,"SocketTimeoutException: Connection to attachment service timed out. Current queue depth: 2847 requests pending.","Associate on third attempt to submit travel expense report for client visit."
EVT-2024-089011,2024-01-15 09:45:18,A-45123,LAP-29567,LOGIN_FAILURE,Okta,MEDIUM,1200,AUTH_002,Commercial Banking,New York,ONSITE,"AuthenticationException: MFA challenge timeout. User did not respond to push notification within 60 seconds.","Associate attempting morning login. Reports phone was on silent and missed push notification."
EVT-2024-089012,2024-01-15 09:48:33,A-67890,LAP-31234,SLOW_RESPONSE,ServiceNow,LOW,3800,PERF_003,Technology,McLean,REMOTE,"SlowResponseWarning: Ticket search query returned in 3.8 seconds.","Associate searching for open tickets assigned to their team."
EVT-2024-089013,2024-01-15 10:02:15,A-12345,LAP-28901,CRASH,Microsoft Teams,HIGH,0,CRASH_001,Retail Banking,Charlotte,HYBRID,"ApplicationCrashReport: Teams.exe terminated unexpectedly. Memory allocation failure during screen share initialization.","Associate was initiating screen share in meeting with 45 participants when application crashed."
EVT-2024-089014,2024-01-15 10:15:44,A-78901,LAP-30789,SLOW_RESPONSE,Workday,MEDIUM,6500,PERF_002,Auto Finance,Plano,ONSITE,"PerformanceWarning: Expense report load time 6.5 seconds. Attachment preview service responding slowly.","Associate opening previously saved draft expense report to add more receipts."
EVT-2024-089015,2024-01-15 10:32:01,A-34567,LAP-29234,APP_ERROR,Slack,LOW,0,ERR_429,Technology,McLean,REMOTE,"RateLimitException: Too many API requests. Slack integration temporarily throttled.","Custom Slack bot for IT alerts hitting rate limits during incident response."
EVT-2024-089016,2024-01-15 10:45:22,A-56123,LAP-31567,TIMEOUT,Workday,MEDIUM,12000,TIMEOUT_001,Commercial Banking,Richmond,HYBRID,"TimeoutException: Expense approval workflow timed out waiting for manager notification service.","Manager attempting to approve 8 pending expense reports in batch. System became unresponsive."
EVT-2024-089017,2024-01-15 11:02:33,A-89234,LAP-28567,SLOW_RESPONSE,Workday,LOW,4800,PERF_003,Card Services,Plano,REMOTE,"MinorLatencyWarning: Report generation completed in 4.8 seconds.","Associate generating expense summary report for Q4."
EVT-2024-089018,2024-01-15 11:15:00,A-23789,LAP-30123,LOGIN_FAILURE,VPN,HIGH,0,VPN_001,Retail Banking,Work From Home,REMOTE,"VPNConnectionError: Failed to establish tunnel. Certificate validation error after recent security update.","Associate unable to connect to corporate network from home. Third attempt this morning."
EVT-2024-089019,2024-01-15 11:28:45,A-67123,LAP-29890,APP_ERROR,Concur,MEDIUM,0,ERR_400,Technology,McLean,ONSITE,"ValidationError: Receipt image rejected. File format not recognized after HEIC to JPEG conversion.","Associate attempting to upload iPhone photos of receipts. Conversion service failing."
EVT-2024-089020,2024-01-15 11:45:12,A-45678,LAP-31345,SLOW_RESPONSE,Workday,HIGH,9200,PERF_002,Commercial Banking,New York,HYBRID,"SlowQueryWarning: Expense database query timeout threshold reached. Query execution time 9.2 seconds.","Associate searching expenses by date range spanning 18 months."
EVT-2024-089021,2024-01-12 14:23:11,A-12890,LAP-28456,SLOW_RESPONSE,Microsoft Teams,LOW,3200,PERF_003,Auto Finance,Richmond,REMOTE,"MinorLatencyWarning: Meeting join time 3.2 seconds.","Associate joining scheduled video call with external client."
